ID ,Transactions,,,
Trans1,"ink, pen, cheese, bag ",,,
Trans2,"milk, pen, juice, cheese ",,,
Trans3,"milk, juice ",,,
Trans4,"juice, milk, cheese ",,,
Trans5,"ink, pen, cheese, bag ",,,
Trans6,"milk, pen, juice, cheese ",,,
Trans7,"milk, ink, cheese",,,
Trans8,"pen, juice, bag",,,
Trans9,"milk, cheese, bag",,,
Trans10,"ink, milk, cheese, juice",,,
Trans11,"pen, cheese, bag",,,
Trans12,"juice, ink, pen",,,
Trans13,"milk, cheese, ink",,,
Trans14,"pen, juice, milk",,,
Trans15,"Cheese, bag, juice",,,
Trans16  ,"ink, milk, bag",,,
Trans17  ,"cheese, juice, pen",,,
Trans18  ,"milk, pen, cheese",,,
Trans19  ,"bag, juice, milk",,,
Trans20  ,"ink, cheese, juice",,,
