ID ,Transactions,,,,
Trans1,"A, B, C ",,,,
Trans2,"A, B, C ",,,,
Trans3,"A, B, C, D ",,,,
Trans4,"A, B, C, D, E ",,,,
Trans5,"A, B, D, E ",,,,
Trans6,"A, D, E ",,,,
Trans7,"A, E ",,,,
Trans8,"A, E ",,,,
Trans9,"A, C, E ",,,,
Trans10,"A, C, E ",,,,
Trans11,"A, C, E ",,,,
Trans12  ,"A, B, C, E",,,,
Trans13  ,"A, B, D",,,,
Trans14  ,"B, C, D, E",,,,
Trans15  ,"A, C, D",,,,
Trans16  ,"B, E",,,,
Trans17  ,"A, B, C",,,,
Trans18  ,"A, D",,,,
Trans19  ,"B, C, E",,,,
Trans20  ,"A, C, D, E",,,,
